No.,需求编号,用例等级,Feature,Category,TestMethod,Subfunction,Summary,Preconditions,TestSteps,Expectedresults,Author,Result,Ver,Date,Tester,Comment
TC_YW_Router_NotMessageRouter_0x23F_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x23F,CAN信号路由_(HornCmd)_0x23F->0x23F,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MPC_BCM_Cmd，报文ID：0x23F中信号
HornCmd=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MPC_BCM_Cmd，报文ID：0x23F分别对应以下信号值
HornCmd=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23F_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x23F,CAN信号路由_(LowBeamCmd)_0x23F->0x23F,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MPC_BCM_Cmd，报文ID：0x23F中信号
LowBeamCmd=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MPC_BCM_Cmd，报文ID：0x23F分别对应以下信号值
LowBeamCmd=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
0x32A,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x32A_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x32A,CAN信号路由_(FRWheelDir)_0x32A->0x32A,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_WhlSpdDir，报文ID：0x32A中信号
FRWheelDir=0/1/2/3
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_WhlSpdDir，报文ID：0x32A分别对应以下信号值
FRWheelDir=0/1/2/3
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x32A_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x32A,CAN信号路由_(FLWheelDir)_0x32A->0x32A,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_WhlSpdDir，报文ID：0x32A中信号
FLWheelDir=0/1/2/3
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_WhlSpdDir，报文ID：0x32A分别对应以下信号值
FLWheelDir=0/1/2/3
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x32A_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x32A,CAN信号路由_(RLWheelDir)_0x32A->0x32A,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_WhlSpdDir，报文ID：0x32A中信号
RLWheelDir=0/1/2/3
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_WhlSpdDir，报文ID：0x32A分别对应以下信号值
RLWheelDir=0/1/2/3
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x32A_004,SWRS-1,A,CAN路由,基本功能,手动测试,0x32A,CAN信号路由_(RRWheelDir)_0x32A->0x32A,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_WhlSpdDir，报文ID：0x32A中信号
RRWheelDir=0/1/2/3
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_WhlSpdDir，报文ID：0x32A分别对应以下信号值
RRWheelDir=0/1/2/3
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x32A_005,SWRS-1,A,CAN路由,基本功能,手动测试,0x32A,CAN信号路由_(RLWheelSpdPulse)_0x32A->0x32A,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_WhlSpdDir，报文ID：0x32A中信号
RLWheelSpdPulse=0/1/10/100/1000/2046
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_WhlSpdDir，报文ID：0x32A分别对应以下信号值
RLWheelSpdPulse=0/1/10/100/1000/2046
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x32A_006,SWRS-1,A,CAN路由,基本功能,手动测试,0x32A,CAN信号路由_(FRWheelSpdPulse)_0x32A->0x32A,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_WhlSpdDir，报文ID：0x32A中信号
FRWheelSpdPulse=0/1/10/100/1000/2046
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_WhlSpdDir，报文ID：0x32A分别对应以下信号值
FRWheelSpdPulse=0/1/10/100/1000/2046
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x32A_007,SWRS-1,A,CAN路由,基本功能,手动测试,0x32A,CAN信号路由_(FLWheelSpdPulse)_0x32A->0x32A,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_WhlSpdDir，报文ID：0x32A中信号
FLWheelSpdPulse=0/1/10/100/1000/2046
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_WhlSpdDir，报文ID：0x32A分别对应以下信号值
FLWheelSpdPulse=0/1/10/100/1000/2046
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x32A_008,SWRS-1,A,CAN路由,基本功能,手动测试,0x32A,CAN信号路由_(RRWheelSpdPulse)_0x32A->0x32A,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_WhlSpdDir，报文ID：0x32A中信号
RRWheelSpdPulse=0/1/10/100/1000/2046
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_WhlSpdDir，报文ID：0x32A分别对应以下信号值
RRWheelSpdPulse=0/1/10/100/1000/2046
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
0x2A3,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(TosionBarTorqueValid)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
TosionBarTorqueValid=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
TosionBarTorqueValid=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(EPS_APAControlSts)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
EPS_APAControlSts=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
EPS_APAControlSts=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(EPS_APAControlFaultSts)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
EPS_APAControlFaultSts=0/1/3/4/7
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
EPS_APAControlFaultSts=0/1/3/4/7
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_004,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(TorsionBarTorque)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
TorsionBarTorque=0/1/5/10
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
TorsionBarTorque=0/1/5/10
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_005,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(EPSFailure)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
EPSFailure=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
EPSFailure=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_006,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(EPS_CalibrationSts)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
EPS_CalibrationSts=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
EPS_CalibrationSts=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_007,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(TorsionBarTorqueDir)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
TorsionBarTorqueDir=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
TorsionBarTorqueDir=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_008,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(FailureLampSts)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
FailureLampSts=0/1/2/3
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
FailureLampSts=0/1/2/3
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_009,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(EPBSys)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
EPBSys=0/1/3/4/7
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
EPBSys=0/1/3/4/7
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x2A3_010,SWRS-1,A,CAN路由,基本功能,手动测试,0x2A3,CAN信号路由_(EPBSWSts)_0x2A3->0x2A3,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_StrSysSt，报文ID：0x2A3中信号
EPBSWSts=0/1/2/3
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_StrSysSt，报文ID：0x2A3分别对应以下信号值
EPBSWSts=0/1/2/3
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
